"title","url","classification"
"Synecdoche","https://api.nga.gov/iiif/09f50027-eeb8-42c1-9306-050e48b637e4/full/!200,200/0/default.jpg","Painting"
"Flowers in a Rococo Vase","https://api.nga.gov/iiif/0aa7a4e2-0231-4bb2-9f8a-90e754c58807/full/!200,200/0/default.jpg","Painting"
"Untitled (Mantlepiece)","https://api.nga.gov/iiif/0a8aced2-9d6d-4a76-8618-54dc6b28367a/full/!200,200/0/default.jpg","Painting"
"Hunting in the Pontine Marshes","https://api.nga.gov/iiif/0b125197-533c-4038-b021-2660d2da0d66/full/!200,200/0/default.jpg","Painting"
"Still Life with Oranges and Goblet of Wine","https://api.nga.gov/iiif/0a8e9ec6-dbde-44fa-af57-b7e1ed46be40/full/!200,200/0/default.jpg","Painting"
"Z VII","https://api.nga.gov/iiif/0ada8997-bca0-4ac2-907d-21ca738b0716/full/!200,200/0/default.jpg","Painting"
"Tiptoe Through the Tulips","https://api.nga.gov/iiif/0ae30455-d12e-45fc-87a6-eedf81fb3388/full/!200,200/0/default.jpg","Painting"
"Flathead Indians","https://api.nga.gov/iiif/0a9e2730-388a-43c6-8713-e61f766e2f92/full/!200,200/0/default.jpg","Painting"
"Susanna Fourment and Her Daughter","https://api.nga.gov/iiif/0aa028c4-c063-4612-bb57-5a8ca4601ca1/full/!200,200/0/default.jpg","Painting"
"Vase of Flowers on a Mantelpiece","https://api.nga.gov/iiif/0acda9d3-8c2f-4698-8af4-52ff72d7ccfb/full/!200,200/0/default.jpg","Painting"
"Painting with Statue of Liberty","https://api.nga.gov/iiif/0acf65be-143b-4190-a507-6f05f6ba90ee/full/!200,200/0/default.jpg","Painting"
"The Love Letter","https://api.nga.gov/iiif/0b56a532-da7e-48bc-9152-5218f68790d4/full/!200,200/0/default.jpg","Painting"
"Diana and Endymion","https://api.nga.gov/iiif/0b1245f4-7385-4278-8f17-a59705c1972c/full/!200,200/0/default.jpg","Painting"
"Martha Tennent Rogers (Mrs. David Rogers) and Her Son, probably Samuel Henry Rogers","https://api.nga.gov/iiif/0b3c5fa4-a92f-4f81-81df-c9102fb33485/full/!200,200/0/default.jpg","Painting"
"General Washington at Princeton","https://api.nga.gov/iiif/0b4bee4d-350a-4efb-8417-abcff7820fa1/full/!200,200/0/default.jpg","Painting"
"The Slaughtered Hog","https://api.nga.gov/iiif/0b4c8d03-8a56-4e03-b5d4-bd22e0d1500f/full/!200,200/0/default.jpg","Painting"
"Girl in Red","https://api.nga.gov/iiif/0b5cefc9-8828-4bc7-b01b-be33f59a10bc/full/!200,200/0/default.jpg","Painting"
"View on the Cannaregio Canal, Venice","https://api.nga.gov/iiif/0b8c1e3b-c1d9-4e67-adac-49af47dc5643/full/!200,200/0/default.jpg","Painting"
"Father and Son","https://api.nga.gov/iiif/0b253b19-3f10-4116-8ce6-5b43ba041b65/full/!200,200/0/default.jpg","Painting"
"The Japanese Footbridge","https://api.nga.gov/iiif/0b9cefb5-1ee4-401a-8154-8d4039191a28/full/!200,200/0/default.jpg","Painting"
"Woman and Cat","https://api.nga.gov/iiif/0b7fea7b-3c76-4c4a-bb35-053f868198c1/full/!200,200/0/default.jpg","Painting"
"Untitled","https://api.nga.gov/iiif/0b92a434-d868-4325-9f18-11bd537fa263/full/!200,200/0/default.jpg","Painting"
"Margarethe Vöhlin","https://api.nga.gov/iiif/0bd962a9-fe23-4393-894c-fa01a5bb71c8/full/!200,200/0/default.jpg","Painting"
"Lady Undressing for a Bath","https://api.nga.gov/iiif/0be11b7b-49e4-4656-998b-18d009abe90f/full/!200,200/0/default.jpg","Painting"
